x,y,z,vx,vy,vz,m,id
-0.87362832,0.44976386,0.86866933,-0.26599136,0.3994889,-4.18E-02,1.56E-05,212
1.7393253,-0.78929985,-1.2106491,-0.43735147,-7.63E-02,0.37393555,1.56E-05,213
-0.51506722,0.28499269,0.30617958,5.56E-02,0.51494002,-0.14540312,1.56E-05,214
0.55293572,-0.51231056,-0.32276556,0.43527043,8.54E-02,6.56E-02,1.56E-05,215
-0.81174535,-0.80791485,1.072233,0.31365505,0.17544787,0.1647311,1.56E-05,216
0.97750139,0.39500272,-3.5111299,0.26722315,-0.18848664,-0.17754407,1.56E-05,217
-0.12203956,-0.79148334,0.81647629,-0.20227824,-4.68E-02,0.19413388,1.56E-05,218
0.46827185,-0.64355403,-0.55485106,-0.45364219,-0.25171107,0.6536954,1.56E-05,219
-1.3610587,0.4827452,-2.3482018,0.30293092,-1.45E-02,-0.14733581,1.56E-05,220
7.70E-02,1.48E-02,-0.20770514,0.80261207,0.12538309,1.1376851,1.56E-05,221
-0.18539934,0.69325972,-0.50384939,-0.22286001,0.3447524,-0.35691339,1.56E-05,222
1.91E-02,0.17812383,-1.84E-02,-0.4996244,-0.22260022,0.30409569,1.56E-05,223
0.63348192,-0.27475742,0.21450059,-0.2756789,-0.72519106,-0.14198944,1.56E-05,224
0.27907699,-1.2019763,-0.46124148,0.22469878,4.14E-02,0.22367884,1.56E-05,225
0.64746201,-0.49953234,-0.30309454,3.43E-02,0.74668652,2.82E-02,1.56E-05,226
-0.29513836,0.53511012,-0.38529027,-0.54201657,0.50586671,0.17538732,1.56E-05,227
0.55462229,-0.12552342,-0.11803581,-0.41950446,0.21192427,-0.22846308,1.56E-05,228
-0.41923273,-1.0534393,-0.60258597,-0.18806273,0.34900469,-0.1857062,1.56E-05,229
0.46062008,0.91186726,-0.63577342,3.95E-02,-0.55144471,-6.09E-02,1.56E-05,230
0.34239793,0.25101024,0.29906756,0.67926997,-0.20117326,0.55806476,1.56E-05,231
1.8131627,-0.29188266,1.5883271,0.13426805,0.10678142,-0.12010714,1.56E-05,232
0.62137574,0.35295874,-1.1548849,5.12E-02,6.34E-02,0.2945542,1.56E-05,233
-0.12297495,-2.2928276,1.1893728,-0.47630084,-2.42E-02,-0.14045925,1.56E-05,234
1.6778476,0.29552922,-0.69046974,0.22401831,-0.11967681,0.63666952,1.56E-05,235
0.51478201,0.45936474,0.3235715,0.6820966,-0.15670706,0.451637,1.56E-05,236
0.18622234,8.74E-03,-6.71E-02,0.24267781,0.20336461,7.02E-02,1.56E-05,237
-0.31675062,0.5551008,-0.33178002,0.23569535,0.22665866,-0.36040986,1.56E-05,238
-0.17841396,-8.71E-02,0.33312413,-0.58019239,-0.2778846,0.6203149,1.56E-05,239
-0.1765077,-0.10045614,-3.46E-02,-0.66848284,-0.22794689,-0.44072285,1.56E-05,240
1.5869766,0.4381088,-0.49637192,-0.29879609,-0.22138724,4.98E-02,1.56E-05,241
-1.4173458,-1.2605957,-9.92E-02,0.23468298,-0.38382453,0.41506219,1.56E-05,242
-3.612592,-1.2520571,8.62E-02,-2.17E-02,-7.86E-02,-0.19218746,1.56E-05,243
-0.64771825,-0.79789275,-0.20182192,-0.21586944,-0.5595271,-8.59E-02,1.56E-05,244
0.752298,1.0548239,1.3391527,-0.37233379,-0.12139521,0.27338892,1.56E-05,245
0.39944732,0.1228495,0.95421469,0.17603236,-0.53011888,0.22472081,1.56E-05,246
-3.23E-02,0.13732693,-8.64E-02,-0.22038364,0.28583878,0.45981973,1.56E-05,247
-0.56286025,-0.45772281,0.54671347,-2.16E-02,-0.24879144,0.51621473,1.56E-05,248
0.29996422,0.41752368,0.28552166,-0.58007705,0.2021538,7.68E-02,1.56E-05,249
0.28329676,1.5848699,2.7310872,-0.40132543,2.89E-02,0.24794357,1.56E-05,250
-4.09E-02,9.26E-02,-0.13054657,-0.51485705,0.42517129,-0.15101613,1.56E-05,251
0.30993316,0.22787118,0.51868826,0.54184699,-0.19630434,-0.25442904,1.56E-05,252
0.22447921,-0.11133075,-3.92E-02,0.18165718,-0.22796802,0.11115826,1.56E-05,253
0.20330033,1.770468,-0.42199549,-0.39235967,0.36435431,-9.03E-02,1.56E-05,254
2.702821,0.32418376,-1.6568969,-0.1914175,4.65E-02,-0.18883653,1.56E-05,255
-0.10889336,4.99E-02,0.2422103,2.81E-02,-0.62670684,0.42949286,1.56E-05,256
-0.70447904,-0.86535162,-2.67E-02,0.26910865,-0.34371582,-0.2768603,1.56E-05,257
0.4715403,0.32507691,-2.46E-02,0.48338106,-0.11550587,0.35368413,1.56E-05,258
